ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,ip_proto,label
1769354624.673289,CsVouNpeE03eWi5y7,192.168.10.2,56378,8.8.8.8,53,udp,dns,5.006432,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
1769354634.686985,CCQSPD2V0JSUjE2Udc,192.168.10.2,45393,8.8.8.8,53,udp,dns,5.006626,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
1769354644.700213,CAwfWVcRTlyehobxh,192.168.10.2,34814,8.8.8.8,53,udp,dns,5.013452,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
1769354654.719559,CgRavr4ZCXnpo9aNMl,192.168.10.2,40098,8.8.8.8,53,udp,dns,5.006673,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
1769354664.732162,C1fls14875IHzt09ld,192.168.10.2,39400,8.8.8.8,53,udp,dns,5.006265,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
1769354674.744597,CX2eBp24dOhMfNmaK6,192.168.10.2,47325,8.8.8.8,53,udp,dns,5.007259,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
1769354684.758304,Cy22Cy3o9db18N84Od,192.168.10.2,57157,8.8.8.8,53,udp,dns,5.005734,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
1769354699.67078,CIGRD04lW6osMouX25,192.168.10.1,5353,224.0.0.251,5353,udp,0,0,0,0,OTH,T,T,0,C,0,0,0,0,0,17,1
1769354700.591948,CPXOyU2LXblnAPztli,fe80::20c:29ff:fe3a:8165,5353,ff02::fb,5353,udp,0,0,0,0,OTH,T,F,0,C,0,0,0,0,0,17,1
1769354694.770373,CEEU5XxCUaGD1CRB4,192.168.10.2,55544,8.8.8.8,53,udp,dns,5.005417,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
1769354704.78213,CNMO681RvCiov8LUO,192.168.10.2,34079,8.8.8.8,53,udp,dns,5.010100,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
1769354714.798307,CGUXfZ37QEXbxkWn68,192.168.10.2,41402,8.8.8.8,53,udp,dns,5.005153,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
1769354724.810463,CKriSn1p8LBgomxs6f,192.168.10.2,43265,8.8.8.8,53,udp,dns,5.005621,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
1769354734.823241,ClrZZ7972qhdHbla2,192.168.10.2,46613,8.8.8.8,53,udp,dns,5.005333,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
1769354744.834377,CNTnpn3JdTjKWSDEs4,192.168.10.2,60241,8.8.8.8,53,udp,dns,5.005646,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
1769354754.846103,CYUMhr4T1EWZCs9Uth,192.168.10.2,43291,8.8.8.8,53,udp,dns,5.006234,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
1769354764.859882,CDlh692y0KLF7b7FQ6,192.168.10.2,36114,8.8.8.8,53,udp,dns,5.005595,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
1769354774.873069,C7XtGM35gjTxVZQED3,192.168.10.2,57983,8.8.8.8,53,udp,dns,5.006923,156,0,S0,T,F,0,D,4,268,0,0,0,17,1
